tractFIPS,SUM of Qty
17031010100,39
17031010201,36
17031010202,47
17031010300,96
17031010400,42
17031010501,35
17031010502,27
17031010503,22
17031010600,86
17031010701,27
17031010702,48
17031020100,46
17031020200,187
17031020301,90
17031020302,100
17031020400,54
17031020500,81
17031020601,55
17031020602,88
17031020701,67
17031020702,47
17031020801,107
17031020802,85
17031020901,101
17031020902,67
17031030101,23
17031030102,27
17031030103,7
17031030104,9
17031030200,57
17031030300,88
17031030400,74
17031030500,106
17031030601,25
17031030603,9
17031030604,16
17031030701,2
17031030702,3
17031030703,14
17031030706,11
17031030800,135
17031030900,105
17031031000,94
17031031100,108
17031031200,20
17031031300,28
17031031400,43
17031031501,12
17031031502,26
17031031700,78
17031031800,19
17031031900,48
17031032100,51
17031040100,120
17031040201,136
17031040202,78
17031040300,98
17031040401,74
17031040402,99
17031040600,52
17031040700,73
17031040800,44
17031040900,63
17031050100,26
17031050200,92
17031050300,69
17031050500,115
17031050600,25
17031050700,24
17031050800,30
17031050900,53
17031051000,63
17031051100,40
17031051200,33
17031051300,75
17031051400,68
17031060100,50
17031060200,31
17031060300,63
17031060400,59
17031060500,19
17031060800,19
17031060900,11
17031061000,32
17031061100,11
17031061200,29
17031061500,15
17031061800,8
17031061901,28
17031061902,4
17031062000,31
17031062100,42
17031062200,46
17031062300,23
17031062400,26
17031062500,27
17031062600,74
17031062700,55
17031062800,46
17031062900,62
17031063000,51
17031063100,20
17031063200,29
17031063301,14
17031063302,19
17031063303,8
17031063400,15
17031070101,44
17031070102,6
17031070103,2
17031070200,64
17031070300,41
17031070400,37
17031070500,38
17031070600,67
17031070700,69
17031071000,32
17031071100,9
17031071200,36
17031071300,34
17031071400,16
17031071500,51
17031071600,9
17031071700,13
17031071800,15
17031080100,9
17031080201,14
17031080202,5
17031080300,62
17031080400,29
17031081000,32
17031081100,7
17031081201,6
17031081202,12
17031081300,7
17031081401,5
17031081402,13
17031081403,23
17031081500,10
17031081600,6
17031081700,22
17031081800,68
17031081900,5
17031090100,186
17031090200,296
17031090300,102
17031100100,179
17031100200,222
17031100300,335
17031100400,140
17031100500,57
17031100600,123
17031100700,126
17031110100,149
17031110200,91
17031110300,75
17031110400,90
17031110501,80
17031110502,98
17031120100,194
17031120200,173
17031120300,180
17031120400,80
17031130100,309
17031130200,28
17031130300,90
17031140100,29
17031140200,64
17031140301,27
17031140302,50
17031140400,117
17031140500,51
17031140601,64
17031140602,67
17031140701,26
17031140702,109
17031140800,158
17031150200,225
17031150300,270
17031150401,89
17031150402,109
17031150501,35
17031150502,43
17031150600,113
17031150700,122
17031150800,135
17031151001,84
17031151002,79
17031151100,229
17031151200,73
17031160100,72
17031160200,64
17031160300,51
17031160400,168
17031160501,63
17031160502,49
17031160601,73
17031160602,82
17031160700,171
17031160800,99
17031160900,50
17031161000,58
17031161100,74
17031161200,71
17031161300,84
17031170100,131
17031170200,95
17031170300,139
17031170400,74
17031170500,151
17031170600,62
17031170700,100
17031170800,311
17031170900,37
17031171000,208
17031171100,74
